iter	RMSE
0	1673.70778
1	1629.398016
2	1588.004066
3	1550.3192
4	1515.795554
5	1482.255796
6	1450.765786
7	1422.389737
8	1395.628607
9	1373.955325
10	1351.942122
11	1330.928213
12	1310.916993
13	1292.453518
14	1275.996394
15	1261.324696
16	1247.452921
17	1234.845557
18	1223.139528
19	1211.553476
20	1200.73692
21	1191.324949
22	1182.12448
23	1173.84507
24	1166.059248
25	1159.75803
26	1153.492802
27	1147.495557
28	1142.390632
29	1137.361571
30	1132.787884
31	1129.04129
32	1125.133062
33	1121.747165
34	1118.470997
35	1115.689048
36	1112.914071
37	1110.381513
38	1108.462626
39	1106.00312
40	1103.871811
41	1101.926794
42	1100.482133
43	1099.103141
44	1097.702288
45	1096.150245
46	1094.620973
47	1093.573329
48	1092.646809
49	1091.4795
50	1090.561991
51	1089.902277
52	1088.966379
53	1088.050012
54	1087.310516
55	1086.535043
56	1085.682009
57	1085.138025
58	1084.430698
59	1083.787742
60	1083.3589
61	1082.772999
62	1081.932881
63	1081.331671
64	1081.190398
65	1080.744733
66	1080.402194
67	1080.098442
68	1079.505982
69	1078.953002
70	1078.437109
71	1077.672589
72	1077.304638
73	1076.900602
74	1076.450949
75	1076.094313
76	1075.573584
77	1075.203607
78	1074.782099
79	1074.562454
80	1074.231264
81	1073.817162
82	1073.270422
83	1072.657148
84	1072.373225
85	1071.736745
86	1071.264904
87	1070.921154
88	1070.573025
89	1070.247533
90	1069.886012
91	1069.784133
92	1069.058482
93	1068.660093
94	1068.155976
95	1067.810066
96	1067.016079
97	1066.552159
98	1066.069607
99	1065.705574
