iter	Passed	Remaining
0	5	561
1	11	550
2	16	530
3	21	514
4	28	536
5	33	522
6	38	515
7	44	509
8	49	502
9	53	478
10	59	479
11	65	479
12	71	475
13	76	470
14	81	463
15	87	457
16	93	455
17	98	448
18	103	441
19	109	436
20	114	429
21	119	423
22	125	421
23	131	415
24	136	410
25	142	404
26	147	398
27	153	393
28	158	388
29	163	382
30	168	375
31	174	370
32	179	364
33	185	359
34	190	354
35	195	346
36	200	340
37	205	335
38	210	329
39	215	323
40	221	319
41	227	313
42	232	308
43	237	302
44	243	297
45	248	291
46	254	286
47	259	281
48	264	275
49	270	270
50	275	265
51	280	258
52	286	253
53	291	248
54	296	242
55	302	237
56	307	231
57	312	226
58	318	221
59	323	215
60	370	236
61	381	233
62	387	227
63	392	220
64	397	213
65	404	208
66	410	202
67	416	195
68	421	189
69	427	183
70	432	176
71	437	170
72	443	163
73	448	157
74	453	151
75	458	144
76	464	138
77	469	132
78	475	126
79	480	120
80	485	113
81	491	107
82	496	101
83	501	95
84	506	89
85	511	83
86	516	77
87	522	71
88	527	65
89	533	59
90	538	53
91	543	47
92	548	41
93	554	35
94	560	29
95	566	23
96	572	17
97	577	11
98	583	5
99	590	0
