iter	RMSE
0	1668.737933
1	1620.024737
2	1575.279656
3	1534.483125
4	1495.692601
5	1460.258967
6	1427.097272
7	1397.670327
8	1370.016793
9	1347.904096
10	1325.306177
11	1304.224181
12	1284.662626
13	1266.405802
14	1250.336986
15	1236.223934
16	1222.986216
17	1211.306491
18	1200.280423
19	1189.212965
20	1179.111038
21	1170.449298
22	1162.715843
23	1155.542677
24	1149.12692
25	1143.766581
26	1138.864157
27	1134.077711
28	1129.641913
29	1125.054243
30	1121.297069
31	1118.096386
32	1114.829162
33	1111.991011
34	1109.147846
35	1106.888693
36	1104.617338
37	1102.489394
38	1100.979636
39	1098.985866
40	1097.435591
41	1095.871207
42	1094.690013
43	1093.775191
44	1092.53711
45	1091.259542
46	1090.094435
47	1089.293677
48	1088.480332
49	1087.692512
50	1086.917204
51	1086.373162
52	1085.628548
53	1084.860588
54	1084.308533
55	1083.551244
56	1082.737015
57	1082.276877
58	1081.663046
59	1081.111127
60	1080.788574
61	1080.362784
62	1079.575944
63	1079.126563
64	1079.020653
65	1078.515433
66	1077.993839
67	1077.523647
68	1077.009364
69	1076.562251
70	1076.03109
71	1075.259583
72	1074.792815
73	1074.292765
74	1073.820618
75	1073.553928
76	1072.991723
77	1072.259882
78	1071.843438
79	1071.567245
80	1071.269652
81	1070.847065
82	1070.345523
83	1069.685915
84	1069.398692
85	1068.743603
86	1068.261629
87	1067.924087
88	1067.65753
89	1067.333963
90	1067.002906
91	1066.906016
92	1066.131172
93	1065.717352
94	1065.191329
95	1064.827874
96	1064.752518
97	1064.104116
98	1063.796629
99	1063.544075
100	1063.125561
101	1062.945361
102	1062.739982
103	1062.268173
104	1061.939979
105	1061.451167
106	1061.261396
107	1060.488383
108	1060.368166
109	1059.741369
110	1059.186001
111	1058.980721
112	1058.517611
113	1058.325009
114	1057.931113
115	1057.673164
116	1057.273824
117	1056.708634
118	1055.931501
119	1055.65861
120	1055.466554
121	1054.90304
122	1054.621772
123	1054.195084
124	1053.877565
125	1053.576085
126	1053.257929
127	1052.960643
128	1052.437633
129	1052.080232
130	1051.79115
131	1051.504991
132	1050.992834
133	1050.708998
134	1050.468588
135	1049.82844
136	1049.57996
137	1049.31138
138	1048.907519
139	1048.683961
140	1048.401863
141	1048.048702
142	1047.755536
143	1047.569576
144	1047.176872
145	1046.729702
146	1046.159006
147	1045.941749
148	1045.793275
149	1045.572633
150	1045.243581
151	1044.998853
152	1044.619587
153	1044.394897
154	1043.884509
155	1043.481202
156	1043.213227
157	1042.710115
158	1042.27691
159	1042.045934
160	1041.653944
161	1041.371664
162	1040.897124
163	1040.441869
164	1040.277447
165	1039.780552
166	1039.535295
167	1039.348584
168	1038.83505
169	1038.476494
170	1038.079797
171	1037.652862
172	1037.29826
173	1036.964505
174	1036.183902
175	1035.863279
176	1035.393368
177	1035.087396
178	1034.494557
179	1034.1744
180	1033.871111
181	1033.453894
182	1033.14908
183	1032.707154
184	1032.352737
185	1031.92098
186	1031.543161
187	1031.127061
188	1030.620596
189	1030.399769
190	1029.905597
191	1029.64988
192	1029.347037
193	1029.032017
194	1028.838222
195	1028.43149
196	1028.142832
197	1027.646133
198	1027.249965
199	1026.936272
200	1026.509757
201	1025.922256
202	1025.586069
203	1025.11724
204	1024.735897
205	1024.329478
206	1024.112723
207	1023.891499
208	1023.541597
209	1023.131271
210	1022.881651
211	1022.676747
212	1022.314172
213	1022.043724
214	1021.7366
215	1021.091928
216	1020.760358
217	1020.581508
218	1020.27333
219	1020.010798
220	1019.753089
221	1019.386923
222	1019.090933
223	1018.8491
224	1018.423929
225	1018.255509
226	1017.937685
227	1017.505357
228	1016.916078
229	1016.522467
230	1016.19899
231	1015.780791
232	1015.550134
233	1015.390472
234	1015.121798
235	1015.026043
236	1014.658552
237	1014.360024
238	1014.068394
239	1013.624998
240	1013.337502
241	1013.063366
242	1012.645221
243	1012.495494
244	1012.410724
245	1012.06049
246	1011.713435
247	1011.416612
248	1010.913424
249	1010.572441
250	1010.356946
251	1009.916322
252	1009.656939
253	1009.358068
254	1009.177105
255	1008.914187
256	1008.621154
257	1008.209688
258	1007.922404
259	1007.345997
260	1007.084703
261	1006.738994
262	1006.429757
263	1006.068149
264	1005.922247
265	1005.560932
266	1005.183436
267	1004.81645
268	1004.566607
269	1004.227682
270	1003.920494
271	1003.492737
272	1003.13093
273	1002.618198
274	1002.113065
275	1001.698268
276	1001.37655
277	1001.00825
278	1000.659059
279	1000.371104
280	999.8905583
281	999.777327
282	999.5748293
283	999.1362036
284	998.5769147
285	998.3163312
286	998.1057814
287	997.7895618
288	997.5112812
289	997.0377445
290	996.8194879
291	996.3774485
292	996.0032996
293	995.6426411
294	995.3810156
295	995.0991302
296	994.6305719
297	994.2538852
298	994.0086615
299	993.6283665
300	993.3188471
301	992.9381841
302	992.6489999
303	992.3181602
304	991.9829206
305	991.7209013
306	991.4197112
307	990.8716312
308	990.5756271
309	990.4616992
310	989.9963154
311	989.7232763
312	989.4613856
313	989.2947872
314	988.9375954
315	988.5516792
316	988.3105815
317	988.0708838
318	987.8124307
319	987.4903362
320	987.1484904
321	986.9771462
322	986.6251643
323	986.1426161
324	985.8479352
325	985.5456991
326	985.25129
327	984.8838718
328	984.5529382
329	984.3142857
330	984.0614143
331	983.8676283
332	983.6091791
333	983.4632059
334	983.2644093
335	983.0564856
336	982.6850004
337	982.2616749
338	981.9759855
339	981.7863071
