iter	Passed	Remaining
0	8	8137
1	15	7915
2	23	7767
3	30	7684
4	39	7761
5	45	7573
6	51	7337
7	56	7062
8	62	6853
9	65	6511
10	70	6366
11	75	6240
12	81	6174
13	86	6072
14	91	6003
15	96	5958
16	102	5925
17	107	5872
18	112	5833
19	118	5796
20	123	5755
21	128	5728
22	133	5687
23	139	5668
24	144	5638
25	149	5609
26	154	5574
27	160	5555
28	164	5516
29	169	5488
30	174	5462
31	179	5440
32	184	5412
33	189	5392
34	194	5370
35	198	5328
36	203	5306
37	208	5289
38	213	5271
39	219	5256
40	224	5241
41	229	5226
42	234	5209
43	239	5195
44	244	5179
45	249	5168
46	254	5151
47	258	5134
48	263	5120
49	268	5107
50	273	5093
51	278	5068
52	282	5054
53	287	5040
54	292	5025
55	297	5012
56	302	5000
57	307	4992
58	312	4981
59	317	4970
60	321	4945
61	326	4934
62	331	4925
63	336	4915
64	339	4877
65	343	4866
66	349	4861
67	353	4851
68	358	4841
69	363	4831
70	368	4825
71	373	4816
72	378	4805
73	383	4799
74	388	4792
75	393	4784
76	398	4777
77	403	4768
78	408	4760
79	413	4750
80	418	4743
81	422	4734
82	428	4728
83	432	4721
84	437	4713
85	442	4706
86	448	4701
87	452	4693
88	458	4688
89	462	4680
90	467	4673
91	471	4656
92	476	4651
93	481	4642
94	486	4635
95	491	4631
96	495	4609
97	500	4603
98	504	4595
99	509	4587
100	514	4582
101	519	4575
102	524	4568
103	529	4560
104	534	4553
105	539	4547
106	543	4539
107	548	4533
108	553	4526
109	558	4519
110	563	4512
111	568	4507
112	573	4500
113	578	4495
114	583	4489
115	588	4484
116	593	4477
117	598	4471
118	603	4464
119	607	4458
120	612	4452
121	618	4448
122	622	4441
123	627	4433
124	632	4428
125	637	4424
126	642	4418
127	647	4413
128	652	4408
129	657	4402
130	662	4396
131	667	4389
132	672	4383
133	677	4378
134	682	4371
135	687	4365
136	692	4360
137	697	4356
138	702	4350
139	707	4344
140	712	4339
141	717	4334
142	722	4329
143	727	4323
144	732	4316
145	737	4310
146	742	4306
147	747	4302
148	752	4297
149	757	4291
150	762	4287
151	767	4281
152	772	4275
153	777	4270
154	782	4263
155	787	4257
156	791	4251
157	796	4246
158	801	4240
159	807	4237
160	811	4230
161	816	4224
162	821	4220
163	826	4214
164	831	4208
165	836	4203
166	841	4198
167	846	4192
168	851	4187
169	856	4182
170	861	4176
171	866	4171
172	871	4165
173	876	4159
174	881	4154
175	886	4149
176	891	4143
177	896	4138
178	901	4133
179	906	4128
180	911	4124
181	916	4120
182	921	4114
183	926	4109
184	931	4103
185	936	4098
186	941	4092
187	946	4087
188	951	4082
189	956	4077
190	961	4071
191	966	4066
192	971	4061
193	976	4056
194	981	4050
195	986	4045
196	991	4040
197	996	4034
198	1000	4028
199	1005	4022
200	1010	4017
201	1015	4012
202	1020	4007
203	1025	4002
204	1030	3996
205	1035	3992
206	1040	3986
207	1045	3981
208	1050	3976
209	1055	3970
210	1060	3965
211	1065	3959
212	1070	3955
213	1075	3950
214	1080	3945
215	1085	3940
216	1090	3935
217	1095	3929
218	1100	3924
219	1105	3919
220	1110	3915
221	1115	3910
222	1120	3905
223	1125	3899
224	1130	3894
225	1135	3888
226	1140	3883
227	1145	3879
228	1150	3873
229	1155	3868
230	1160	3864
231	1165	3859
232	1170	3853
233	1175	3848
234	1180	3842
235	1185	3836
236	1190	3832
237	1195	3826
238	1200	3821
239	1204	3815
240	1210	3811
241	1215	3806
242	1220	3802
243	1225	3797
244	1230	3791
245	1235	3787
246	1240	3782
247	1246	3778
248	1251	3773
249	1256	3768
250	1261	3763
251	1266	3758
252	1271	3753
253	1276	3748
254	1280	3742
255	1286	3737
256	1291	3735
257	1297	3732
258	1303	3729
259	1308	3724
260	1313	3719
261	1318	3715
262	1323	3709
263	1328	3705
264	1334	3700
265	1339	3696
266	1344	3692
267	1350	3687
268	1355	3682
269	1360	3677
270	1365	3672
271	1370	3668
272	1375	3663
273	1381	3659
274	1386	3655
275	1392	3651
276	1397	3646
277	1402	3641
278	1407	3636
279	1412	3631
280	1417	3626
281	1422	3621
282	1427	3616
283	1432	3611
284	1438	3608
285	1443	3603
286	1449	3600
287	1454	3595
288	1459	3590
289	1465	3587
290	1471	3584
291	1476	3578
292	1481	3575
293	1486	3570
294	1491	3565
295	1496	3560
296	1502	3555
297	1507	3550
298	1512	3546
299	1517	3541
300	1522	3536
301	1528	3531
302	1532	3526
303	1538	3521
304	1543	3516
305	1548	3511
306	1553	3506
307	1558	3501
308	1563	3496
309	1568	3491
310	1573	3485
311	1578	3480
312	1583	3476
313	1589	3471
314	1594	3466
315	1599	3461
316	1604	3456
317	1609	3451
318	1614	3446
319	1619	3441
320	1624	3435
321	1629	3431
322	1634	3426
323	1639	3420
324	1644	3415
325	1649	3410
326	1654	3405
327	1659	3399
328	1664	3394
329	1669	3389
330	1674	3383
331	1679	3378
332	1684	3374
333	1689	3369
334	1694	3364
335	1699	3358
336	1704	3354
337	1709	3348
338	1714	3343
339	1719	3338
340	1724	3333
341	1729	3328
342	1734	3323
343	1739	3317
344	1744	3312
345	1749	3307
346	1754	3302
347	1759	3297
348	1764	3291
349	1769	3286
350	1775	3282
351	1780	3276
352	1785	3271
353	1790	3266
354	1795	3261
355	1800	3256
356	1805	3252
357	1810	3246
358	1816	3242
359	1821	3238
360	1826	3233
361	1832	3229
362	1837	3224
363	1842	3219
364	1847	3214
365	1852	3209
366	1857	3203
367	1862	3198
368	1867	3194
369	1872	3188
370	1878	3185
371	1884	3180
372	1889	3175
373	1894	3170
374	1900	3166
375	1905	3162
376	1910	3157
377	1916	3152
378	1921	3147
379	1926	3142
380	1931	3138
381	1937	3134
382	1942	3129
383	1947	3124
384	1952	3119
385	1957	3113
386	1963	3109
387	1968	3105
388	1974	3101
389	1979	3095
390	1984	3091
391	1990	3086
392	1995	3081
393	2000	3077
394	2006	3072
395	2011	3067
396	2016	3063
397	2022	3058
398	2027	3053
399	2032	3048
400	2037	3043
401	2042	3038
402	2047	3033
403	2052	3028
404	2057	3023
405	2062	3017
406	2067	3012
407	2073	3007
408	2078	3002
409	2083	2998
410	2088	2992
411	2094	2988
412	2099	2983
413	2104	2978
414	2109	2973
415	2114	2967
416	2119	2962
417	2124	2957
418	2129	2952
419	2134	2947
420	2139	2942
421	2144	2936
422	2149	2931
423	2154	2926
424	2158	2920
425	2163	2915
426	2168	2910
427	2173	2905
428	2178	2899
429	2183	2894
430	2188	2889
431	2193	2884
432	2198	2879
433	2203	2874
434	2208	2869
435	2214	2864
436	2219	2858
437	2224	2853
438	2229	2849
439	2234	2844
440	2239	2838
441	2244	2833
442	2249	2828
443	2254	2823
444	2259	2818
445	2264	2813
446	2269	2808
447	2274	2803
448	2280	2798
449	2285	2792
450	2290	2788
451	2295	2783
452	2300	2778
453	2306	2773
454	2311	2768
455	2316	2763
456	2321	2758
457	2326	2753
458	2331	2747
459	2336	2742
460	2341	2737
461	2346	2732
462	2351	2727
463	2356	2722
464	2361	2717
465	2366	2711
466	2371	2706
467	2376	2701
468	2381	2696
469	2386	2691
470	2392	2687
471	2398	2682
472	2404	2679
473	2410	2675
474	2417	2671
475	2423	2667
476	2428	2663
477	2434	2658
478	2440	2654
479	2446	2650
480	2452	2645
481	2457	2641
482	2462	2636
483	2468	2631
484	2474	2627
485	2479	2622
486	2485	2618
487	2491	2614
488	2497	2609
489	2503	2605
490	2508	2600
491	2514	2596
492	2519	2591
493	2524	2586
494	2530	2581
495	2535	2575
496	2540	2570
497	2545	2565
498	2550	2560
499	2555	2555
500	2561	2551
501	2566	2546
502	2572	2541
503	2577	2536
504	2582	2531
505	2587	2526
506	2593	2521
507	2598	2516
508	2603	2511
509	2609	2507
510	2615	2503
511	2621	2498
512	2627	2494
513	2632	2489
514	2638	2484
515	2643	2479
516	2648	2474
517	2653	2469
518	2659	2464
519	2664	2459
520	2669	2454
521	2674	2449
522	2679	2444
523	2684	2439
524	2689	2433
525	2695	2428
526	2700	2423
527	2705	2418
528	2710	2413
529	2715	2407
530	2720	2402
531	2725	2397
532	2730	2391
533	2735	2386
534	2740	2381
535	2745	2376
536	2750	2371
537	2754	2365
538	2760	2360
539	2765	2355
540	2770	2350
541	2775	2345
542	2780	2339
543	2785	2334
544	2790	2329
545	2795	2324
546	2800	2319
547	2805	2314
548	2810	2308
549	2815	2303
550	2820	2298
551	2825	2293
552	2830	2288
553	2836	2283
554	2841	2278
555	2846	2272
556	2851	2267
557	2856	2262
558	2861	2257
559	2866	2252
560	2871	2247
561	2876	2242
562	2881	2236
563	2886	2231
564	2891	2226
565	2896	2221
566	2901	2216
567	2906	2210
568	2912	2205
569	2917	2200
570	2922	2195
571	2927	2190
572	2932	2185
573	2937	2179
574	2942	2174
575	2946	2169
576	2951	2163
577	2956	2158
578	2961	2153
579	2966	2148
580	2971	2143
581	2976	2137
582	2981	2132
583	2986	2127
584	2991	2122
585	2996	2117
586	3001	2112
587	3006	2106
588	3012	2101
589	3016	2096
590	3021	2091
591	3026	2086
592	3031	2080
593	3039	2077
594	3045	2072
595	3050	2068
596	3056	2063
597	3062	2058
598	3067	2053
599	3072	2048
600	3077	2043
601	3082	2038
602	3087	2032
603	3093	2027
604	3098	2022
605	3103	2017
606	3108	2012
607	3113	2007
608	3118	2001
609	3123	1996
610	3127	1991
611	3133	1986
612	3138	1981
613	3143	1975
614	3148	1970
615	3153	1965
616	3158	1960
617	3163	1955
618	3168	1950
619	3173	1945
620	3178	1940
621	3183	1934
622	3188	1929
623	3193	1924
624	3199	1919
625	3203	1914
626	3208	1908
627	3213	1903
628	3218	1898
629	3223	1893
630	3228	1888
631	3233	1883
632	3239	1877
633	3243	1872
634	3248	1867
635	3253	1862
636	3258	1856
637	3263	1851
638	3269	1846
639	3274	1841
640	3279	1836
641	3284	1831
642	3289	1826
643	3294	1821
644	3299	1815
645	3304	1810
646	3310	1805
647	3315	1800
648	3320	1795
649	3325	1790
650	3330	1785
651	3335	1780
652	3340	1775
653	3345	1770
654	3350	1764
655	3355	1759
656	3360	1754
657	3365	1749
658	3371	1744
659	3375	1739
660	3381	1733
661	3386	1728
662	3391	1723
663	3396	1718
664	3401	1713
665	3406	1708
666	3411	1703
667	3416	1697
668	3421	1692
669	3426	1687
670	3430	1682
671	3435	1677
672	3441	1671
673	3446	1666
674	3451	1661
675	3456	1656
676	3461	1651
677	3466	1646
678	3471	1641
679	3476	1636
680	3481	1630
681	3486	1625
682	3491	1620
683	3496	1615
684	3501	1610
685	3506	1604
686	3511	1599
687	3516	1594
688	3521	1589
689	3526	1584
690	3531	1579
691	3536	1574
692	3541	1568
693	3546	1563
694	3551	1558
695	3556	1553
696	3561	1548
